source_id,team_fifa_code,name,position
295347,ALG,Achref Abada,Defence
293057,ALG,Adil Boulbina,Midfield
8476,ALG,Amine Gouiri,Offence
245574,ALG,Amine Tougai,Defence
244466,ALG,Anis Moussa,Offence
19,ALG,Aïssa Mandi,Defence
178658,ALG,Fares Chaïbi,Midfield
245324,ALG,Farés Ghedjemis,Offence
123508,ALG,Hicham Boudaoui,Midfield
8466,ALG,Houssem Aouar,Midfield
202532,ALG,Ibrahim Maza,Midfield
147891,ALG,Jaouen Hadjam,Defence
3871,ALG,Luca Zidane,Goalkeeper
171469,ALG,Melvin Mastil,Goalkeeper
180827,ALG,Mohammed Amoura,Offence
6503,ALG,Nabil Bentaleb,Midfield
192676,ALG,Nadhir Benbouali,Offence
130440,ALG,Oussama Benbout,Goalkeeper
160756,ALG,Rafik Belghali,Defence
124715,ALG,Ramiz Zerrouki,Midfield
8805,ALG,Ramy Bensebaini,Defence
8642,ALG,Rayan Aït Nouri,Defence
8069,ALG,Riyad Mahrez,Offence
116150,ALG,Samir Chergui,Defence
261523,ALG,Yacine Titraoui,Midfield
245545,ALG,Zinédine Belaïd,Defence
45681,ARG,Alexis Mac Allister,Midfield
45735,ARG,Christian Romero,Defence
3141,ARG,Emiliano Martínez,Goalkeeper
102603,ARG,Enzo Fernández,Midfield
11720,ARG,Exequiel Palacios,Midfield
46125,ARG,Facundo Medina,Defence
3216,ARG,Giovani Lo Celso,Midfield
171964,ARG,Giuliano Simeone,Offence
11667,ARG,Gonzalo Montiel,Defence
6,ARG,Géronimo Rulli,Goalkeeper
170698,ARG,José Manuel López,Offence
46554,ARG,Juan Musso,Goalkeeper
98571,ARG,Julián Álvarez,Offence
3220,ARG,Lautaro Martínez,Offence
3214,ARG,Leandro Paredes,Midfield
82020,ARG,Leonardo Balerdi,Defence
3218,ARG,Lionel Messi,Offence
46451,ARG,Lisandro Martínez,Defence
46452,ARG,Nahuel Molina,Defence
203511,ARG,Nico Paz,Midfield
45680,ARG,Nicolás González,Offence
3205,ARG,Nicolás Otamendi,Defence
3208,ARG,Nicolás Tagliafico,Defence
2127,ARG,Rodrigo de Paul,Midfield
79953,ARG,Thiago Almada,Midfield
170261,ARG,Valentin Barco,Defence
8053,AUS,Aiden O'Neill,Midfield
7528,AUS,Ajdin Hrustic,Midfield
176730,AUS,Alessandro Circati,Defence
45143,AUS,Awer Mabil,Midfield
3407,AUS,Aziz Behich,Defence
5432,AUS,Cameron Burgess,Defence
76250,AUS,Cameron Devlin,Midfield
4635,AUS,Connor Metcalfe,Midfield
175891,AUS,Cristian Volpato,Offence
11636,AUS,Harry Souttar,Defence
3421,AUS,Jackson Irvine,Midfield
4795,AUS,Jacob Italiano,Defence
56254,AUS,Jason Geria,Defence
176299,AUS,Jordan Bos,Defence
4563,AUS,Kai Trewin,Defence
270733,AUS,Lucas Herrington,Defence
3420,AUS,Mathew Leckie,Midfield
3403,AUS,Maty Ryan,Goalkeeper
3410,AUS,Miloš Degenek,Defence
141451,AUS,Mohamed Toure,Offence
176991,AUS,Nestor Irankunda,Offence
167783,AUS,Nishan Velupillay,Offence
177427,AUS,Patrick Beach,Goalkeeper
4697,AUS,Paul Izzo,Goalkeeper
263718,AUS,Paul Okon-Engstler,Midfield
181753,AUS,Tete Yengi,Offence
6501,AUT,Alessandro Schöpf,Midfield
113457,AUT,Alexander Prass,Defence
10702,AUT,Alexander Schlager,Goalkeeper
167570,AUT,Carney Chukwuemeka,Midfield
56829,AUT,Christoph Baumgartner,Midfield
123212,AUT,David Affengruber,Defence
349,AUT,David Alaba,Defence
404,AUT,Florian Grillitsch,Midfield
217244,AUT,Florian Wiegele,Goalkeeper
6655,AUT,Kevin Danso,Defence
9549,AUT,Konrad Laimer,Midfield
9551,AUT,Marcel Sabitzer,Midfield
9447,AUT,Marco Friedl,Defence
8223,AUT,Marko Arnautovic,Offence
6661,AUT,Michael Gregoritsch,Offence
61968,AUT,Michael Svoboda,Defence
113038,AUT,Nicolas  Seiwald,Midfield
10837,AUT,Patrick Pentz,Goalkeeper
124324,AUT,Patrick Wimmer,Midfield
176932,AUT,Paul Wanner,Midfield
9477,AUT,Philipp Lienhart,Defence
6576,AUT,Philipp Mwene,Defence
16346,AUT,Romano Schmid,Midfield
10761,AUT,Saša Kalajdžić,Offence
395,AUT,Stefan Posch,Defence
16344,AUT,Xaver Schlager,Midfield
8858,BEL,Alexis Saelemaekers,Midfield
114024,BEL,Amadou Onana,Midfield
145893,BEL,Arthur Theate,Defence
3656,BEL,Axel Witsel,Midfield
8873,BEL,Brandon Mechele,Defence
129947,BEL,Charles De Ketelaere,Offence
182192,BEL,Diego Moreira,Midfield
8128,BEL,Dodi Lukebakio,Midfield
8888,BEL,Hans Vanaken,Midfield
99775,BEL,Jeremy Doku,Midfield
213534,BEL,Joaquin Seys,Defence
3654,BEL,Kevin De Bruyne,Midfield
153556,BEL,Koni De Winter,Defence
8984,BEL,Leandro Trossard,Offence
213511,BEL,Matias Fernandez-Pardo,Offence
142075,BEL,Maxim De Cuyper,Defence
191068,BEL,Mike Penders,Goalkeeper
192677,BEL,Nathan Ngoy,Defence
8915,BEL,Nicolas Raskin,Midfield
3662,BEL,Romelu Lukaku,Offence
129946,BEL,Senne Lammens,Goalkeeper
3641,BEL,Thibaut Courtois,Goalkeeper
3650,BEL,Thomas Meunier,Defence
1836,BEL,Timothy Castagne,Defence
3658,BEL,Youri Tielemans,Midfield
160926,BEL,Zeno Debast,Defence
81816,BIH,Amar Dedić,Defence
275052,BIH,Amar Memić,Midfield
30102,BIH,Amir Hadžiahmetović,Midfield
119385,BIH,Armin Gigovic,Midfield
189280,BIH,Benjamin Tahirovic,Midfield
15357,BIH,Dennis Hadžikadunić,Defence
9400,BIH,Dženis Burnić,Midfield
1822,BIH,Edin Džeko,Offence
33242,BIH,Ermedin Demirovic,Offence
221764,BIH,Ermin Mahmic,Midfield
186380,BIH,Esmir Bajraktarevic,Offence
63218,BIH,Haris Tabaković,Offence
147030,BIH,Ivan Bašić,Midfield
23206,BIH,Ivan Šunjić,Midfield
17767,BIH,Jovo Lukić,Offence
272213,BIH,Kerim Alajbegović,Offence
17645,BIH,Martin Zlomislić,Goalkeeper
276572,BIH,Mladen Jurkas,Goalkeeper
216398,BIH,Nidal Čelik,Defence
17869,BIH,Nihad Mujakić,Defence
23182,BIH,Nikola Katić,Defence
65105,BIH,Nikola Vasilj,Goalkeeper
172226,BIH,Samed Bazdar,Offence
7786,BIH,Sead Kolašinac,Defence
65758,BIH,Stjepan Radeljić,Defence
189153,BIH,Tarik Muharemović,Defence
2028,BRA,Alex Sandro,Defence
1795,BRA,Alisson Becker,Goalkeeper
1106,BRA,Bremer,Defence
1684,BRA,Bruno Guimarães,Midfield
3231,BRA,Casemiro,Midfield
7881,BRA,Danilo Luiz da Silva,Defence
149704,BRA,Danilo dos Santos de Oliveira,Midfield
6517,BRA,Douglas Santos,Defence
3222,BRA,Ederson,Goalkeeper
188487,BRA,Endrick,Offence
8749,BRA,Fabinho,Midfield
23128,BRA,Gabriel Magalhães,Defence
1543,BRA,Lucas Paquetá,Midfield
145539,BRA,Luiz Henrique,Offence
11192,BRA,Léo Pereira,Defence
3225,BRA,Marquinhos,Defence
61450,BRA,Martinelli,Offence
30842,BRA,Matheus Cunha,Offence
8491,BRA,Neymar,Offence
37428,BRA,Raphinha,Offence
203356,BRA,Rayan,Offence
1081,BRA,Roger Ibañez,Defence
138230,BRA,Thiago,Offence
1556,BRA,Vinicius Junior,Offence
179164,BRA,Wesley,Defence
1170,BRA,Weverton,Goalkeeper
81286,CAN,Alfie Jones,Defence
181976,CAN,Ali Ahmed,Midfield
118604,CAN,Alistair Johnston,Defence
21288,CAN,Alphonso Davies,Defence
15958,CAN,Cyle Larin,Offence
113351,CAN,Dayne St. Clair,Goalkeeper
113228,CAN,Derek Cornelius,Defence
172183,CAN,Ismael Kone,Midfield
111842,CAN,Jacob Shaffelburg,Offence
112209,CAN,Joel Waterman,Defence
